id,code,type,name,fa_name,parent_id,parent_code,country_code
1,IR,1,Iran,ایران,,,
2,IR10,2,Isfahan,اصفهان,1,IR,IR
3,IR1001,3,Ardestan,اردستان,2,IR10,IR
4,IR1002,3,Isfahan,اصفهان,2,IR10,IR
5,IR1003,3,Khomeyni Shahr,خمینی شهر,2,IR10,IR
6,IR1004,3,Khansar,خوانسار,2,IR10,IR
7,IR1005,3,Semirom,سمیرم,2,IR10,IR
8,IR1006,3,Fereidan,فریدن,2,IR10,IR
9,IR1007,3,Fereydunshahr,فریدونشهر,2,IR10,IR
10,IR1008,3,Falavarjan,فلاورجان,2,IR10,IR
11,IR1009,3,Shahreza,شهرضا,2,IR10,IR
12,IR1010,3,Kashan,کاشان,2,IR10,IR
13,IR1012,3,Lenjan,لنجان,2,IR10,IR
14,IR1011,3,Golpayegan,گلپایگان,2,IR10,IR
15,IR1013,3,Naeen,نایین,2,IR10,IR
16,IR1014,3,Najafabad,نجف آباد,2,IR10,IR
17,IR1015,3,Natanz,نطنز,2,IR10,IR
18,IR1016,3,Shahinshahr va Meymeh,شاهین‌شهر و میمه,2,IR10,IR
19,IR1018,3,Aran va Bidgol,آران و بیدگل,2,IR10,IR
20,IR1017,3,Mobarakeh,مبارکه,2,IR10,IR
21,IR1019,3,Tiran and Karvan,تیران و کرون,2,IR10,IR
22,IR1020,3,Chadegan,چادگان,2,IR10,IR
23,IR1021,3,Dehaqan,دهاقان,2,IR10,IR
24,IR1022,3,Borkhar,برخوار,2,IR10,IR
25,IR1023,3,Khour va Biabanak,خور و بیابانک,2,IR10,IR
26,IR1024,3,Bueen Miyandasht,بویین و میاندشت,2,IR10,IR
27,IR1025,3,Kuhpayeh,کوهپایه,2,IR10,IR
28,IR1026,3,Jarghooyeh,جرقویه,2,IR10,IR
29,IR1027,3,Varzaneh,ورزنه,2,IR10,IR
30,IR1028,3,Harand,هرند,2,IR10,IR
31,IR11,2,Sistan and Baluchestan,سیستان و بلوچستان,1,IR,IR
32,IR1101,3,Iranshahr,ایرانشهر,31,IR11,IR
33,IR1102,3,Chabahar,چابهار,31,IR11,IR
34,IR1103,3,Khash,خاش,31,IR11,IR
35,IR1104,3,Zabol,زابل,31,IR11,IR
36,IR1105,3,Zahedan,زاهدان,31,IR11,IR
37,IR1106,3,Saravan,سراوان,31,IR11,IR
38,IR1107,3,Nikshahr,نیک‌شهر,31,IR11,IR
39,IR1108,3,Rask,راسک,31,IR11,IR
40,IR1109,3,Konarak,کنارک,31,IR11,IR
41,IR1110,3,Zehak,زهک,31,IR11,IR
42,IR1111,3,Hirmand,هیرمند,31,IR11,IR
43,IR1112,3,Delgan,دلگان,31,IR11,IR
44,IR1113,3,Mehrestan,مهرستان,31,IR11,IR
45,IR1114,3,Sib va Sooran,سیب و سوران,31,IR11,IR
46,IR1115,3,Nimruz,نیمروز,31,IR11,IR
47,IR1116,3,Hamun,هامون,31,IR11,IR
48,IR1117,3,Mirjaveh,میرجاوه,31,IR11,IR
49,IR1118,3,Qasr-e Qand,قصرقند,31,IR11,IR
50,IR1119,3,Fanuj,فنوج,31,IR11,IR
